erlang index: 55, erlang: 56000, general blocking: 0.0225198, BBP: 0.0674029, Total current utilization: 0.345935, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 56, erlang: 57000, general blocking: 0.0226998, BBP: 0.0670355, Total current utilization: 0.348751, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 57, erlang: 58000, general blocking: 0.0234898, BBP: 0.0701616, Total current utilization: 0.3516, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 58, erlang: 59000, general blocking: 0.0248998, BBP: 0.0739444, Total current utilization: 0.353183, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 59, erlang: 60000, general blocking: 0.0256097, BBP: 0.0751438, Total current utilization: 0.355673, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 60, erlang: 61000, general blocking: 0.0272197, BBP: 0.0794413, Total current utilization: 0.355436, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 61, erlang: 62000, general blocking: 0.0283297, BBP: 0.0828061, Total current utilization: 0.358424, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 62, erlang: 63000, general blocking: 0.0283097, BBP: 0.0825572, Total current utilization: 0.360124, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 63, erlang: 64000, general blocking: 0.0297097, BBP: 0.0866998, Total current utilization: 0.360807, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 64, erlang: 65000, general blocking: 0.0313897, BBP: 0.0911979, Total current utilization: 0.363204, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
