erlang index: 51001, erlang: 51001, general blocking: 0.132639, BBP: 0, Total current utilization: 0.428012, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 52001, erlang: 52001, general blocking: 0.133229, BBP: 0, Total current utilization: 0.433808, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 53001, erlang: 53001, general blocking: 0.135479, BBP: 0, Total current utilization: 0.435111, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 54001, erlang: 54001, general blocking: 0.137509, BBP: 0, Total current utilization: 0.438106, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 55001, erlang: 55001, general blocking: 0.138269, BBP: 0, Total current utilization: 0.444091, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 56001, erlang: 56001, general blocking: 0.139189, BBP: 0, Total current utilization: 0.444495, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 57001, erlang: 57001, general blocking: 0.139319, BBP: 0, Total current utilization: 0.446997, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 58001, erlang: 58001, general blocking: 0.143009, BBP: 0, Total current utilization: 0.449684, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 59001, erlang: 59001, general blocking: 0.142709, BBP: 0, Total current utilization: 0.452644, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 60001, erlang: 60001, general blocking: 0.143339, BBP: 0, Total current utilization: 0.457389, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 62001, erlang: 62001, general blocking: 0.147699, BBP: 0, Total current utilization: 0.460967, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 63001, erlang: 63001, general blocking: 0.148059, BBP: 0, Total current utilization: 0.463349, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 64001, erlang: 64001, general blocking: 0.148149, BBP: 0, Total current utilization: 0.467587, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 65001, erlang: 65001, general blocking: 0.151118, BBP: 0, Total current utilization: 0.468276, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 66001, erlang: 66001, general blocking: 0.150728, BBP: 0, Total current utilization: 0.474127, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
