erlang index: 81, erlang: 82000, general blocking: 0.0328997, BBP: 0.103041, Total current utilization: 0.396299, Blocked by XT: 268, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 82, erlang: 83000, general blocking: 0.0333197, BBP: 0.104357, Total current utilization: 0.398038, Blocked by XT: 241, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 83, erlang: 84000, general blocking: 0.0341097, BBP: 0.106831, Total current utilization: 0.399231, Blocked by XT: 202, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 84, erlang: 85000, general blocking: 0.0346897, BBP: 0.108648, Total current utilization: 0.400049, Blocked by XT: 229, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.6229, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 85, erlang: 86000, general blocking: 0.0347997, BBP: 0.108992, Total current utilization: 0.40162, Blocked by XT: 261, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 86, erlang: 87000, general blocking: 0.0357796, BBP: 0.112062, Total current utilization: 0.402877, Blocked by XT: 174, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 87, erlang: 88000, general blocking: 0.0364296, BBP: 0.114097, Total current utilization: 0.404109, Blocked by XT: 199, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 88, erlang: 89000, general blocking: 0.0366196, BBP: 0.114692, Total current utilization: 0.405954, Blocked by XT: 194, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 89, erlang: 90000, general blocking: 0.0373396, BBP: 0.116947, Total current utilization: 0.408263, Blocked by XT: 201, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 90, erlang: 91000, general blocking: 0.0379996, BBP: 0.119014, Total current utilization: 0.407834, Blocked by XT: 168, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 91, erlang: 92000, general blocking: 0.0383996, BBP: 0.120267, Total current utilization: 0.409226, Blocked by XT: 221, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 92, erlang: 93000, general blocking: 0.0387196, BBP: 0.12127, Total current utilization: 0.410955, Blocked by XT: 221, Ruta mas larga: 1325, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.5434, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -22.6229
